frame,x,y,prob,0,Visibility,new_X,new_Y,event
874,1226,435,0.4021652,2,1,1226.0,435.0,0
875,0,0,0.0,0,0,0.0,0.0,0
876,0,0,0.0,0,0,0.0,0.0,0
877,0,0,0.0,0,0,0.0,0.0,0
878,0,0,0.0,0,0,0.0,0.0,0
879,0,0,0.0,0,0,0.0,0.0,0
880,0,0,0.0,0,0,0.0,0.0,0
881,0,0,0.0,0,0,0.0,0.0,0
882,0,0,0.0,0,0,0.0,0.0,0
883,0,0,0.0,0,0,0.0,0.0,0
884,0,0,0.0,0,0,0.0,0.0,0
885,0,0,0.0,0,0,0.0,0.0,0
886,0,0,0.0,0,0,0.0,0.0,0
887,0,0,0.0,0,0,0.0,0.0,0
888,0,0,0.0,0,0,0.0,0.0,0
889,0,0,0.0,0,0,0.0,0.0,0
890,0,0,0.0,0,0,0.0,0.0,0
891,0,0,0.0,0,0,0.0,0.0,0
892,0,0,0.0,0,0,0.0,0.0,0
893,0,0,0.0,0,0,0.0,0.0,0
894,0,0,0.0,0,0,0.0,0.0,0
895,0,0,0.0,0,0,0.0,0.0,0
896,0,0,0.0,0,0,0.0,0.0,0
897,0,0,0.0,0,0,0.0,0.0,0
898,0,0,0.0,0,0,0.0,0.0,0
899,0,0,0.0,0,0,0.0,0.0,0
900,0,0,0.0,0,0,0.0,0.0,0
901,0,0,0.0,0,0,0.0,0.0,0
902,0,0,0.0,0,0,0.0,0.0,0
903,0,0,0.0,0,0,0.0,0.0,0
904,0,0,0.0,0,0,0.0,0.0,0
905,0,0,0.0,0,0,0.0,0.0,0
906,0,0,0.0,0,0,0.0,0.0,0
907,0,0,0.0,0,0,0.0,0.0,0
908,0,0,0.0,0,0,0.0,0.0,0
909,0,0,0.0,0,0,0.0,0.0,0
910,0,0,0.0,0,0,0.0,0.0,0
911,0,0,0.0,0,0,0.0,0.0,0
912,0,0,0.0,0,0,0.0,0.0,0
913,0,0,0.0,0,0,0.0,0.0,0
914,0,0,0.0,0,0,0.0,0.0,0
915,0,0,0.0,0,0,0.0,0.0,0
916,595,322,0.43441668,1,1,595.0,322.0,0
917,0,0,0.0,0,0,601.6666666666666,317.39748407174017,0
918,0,0,0.0,0,0,608.3333333333334,312.7308174050735,0
919,615,308,0.4871372,1,1,615.0,308.0,0
